TIME,ECG,ECG_Filtered
13479920,2.90323,0.04605
13506956,4.51124,-0.05614
13535036,4.99022,-0.57618
13563112,5.00000,-0.20869
13591192,5.00000,0.34320
13618236,5.00000,0.49184
13645276,4.93157,0.31722
13672312,3.87586,-0.17661
13700396,2.30205,-0.12335
13728476,0.70381,0.13982
13755520,0.02444,0.41834
13782520,0.00000,0.12352
13809596,0.09286,-0.36855
13837676,0.84066,-0.31950
13865760,1.25611,-0.47228
13893836,0.15640,-0.61167
13921880,0.00000,0.51783
13948920,0.00000,0.59398
13975960,0.00000,0.26946
14003004,0.00000,0.00185
14030076,0.00489,-0.11730
14058152,0.93842,0.13418
14085212,2.47801,-0.00112
14113276,4.07136,-0.31178
14141356,4.47703,-0.66109
14169436,4.14956,-0.23129
14197524,2.89834,0.17452
14224564,1.65200,0.66226
14251596,0.79179,0.69439
14278640,0.18573,0.25368
14305680,0.34702,-0.02864
14333756,0.72336,-0.44082
14361840,1.73998,-0.39131
14389916,1.82307,-0.69796
14418000,0.56207,-0.53662
14446072,0.39589,0.69319
14473112,1.89638,1.08532
14500164,3.64614,0.16915
14527192,3.68035,-0.95415
14555276,3.01075,-0.54911
14583356,2.10166,0.18453
14610396,1.35875,0.58500
14637436,1.38319,0.62662
14664476,2.44868,0.31597
14691528,3.81720,-0.34228
14719600,4.90225,-0.73216
14747688,4.39394,-0.90815
14775756,3.08895,-0.14695
14803836,0.12219,0.19230
14830840,0.00000,1.71242
14857884,0.00000,0.60541
14884928,0.00000,-0.41450
14913000,0.00000,-0.72292
14941120,0.05865,-0.52669
14969200,2.26784,0.39270
14996240,4.66764,-0.10016
15024320,4.99511,-0.96811
15052392,4.91202,-0.16108
15080484,3.69501,0.28779
15107524,1.92571,0.66833
15134556,0.77713,0.93987
15161596,0.49365,0.59486
15188636,0.98729,-0.06242
15216724,2.74682,-0.38187
15244796,4.88759,-0.78947
15272876,4.99511,-1.36805
15300956,4.99511,-0.21331
15329040,2.77615,-0.00573
15357120,0.05865,0.83353
15384116,0.00000,1.86884
15411160,0.00000,0.45473
15438200,0.00000,-0.61878
15466280,0.00000,-0.87066
15494396,1.24145,-0.25892
15522480,4.87292,0.34711
15549520,4.30596,-1.63684
15577596,4.55523,0.01602
15604636,2.50244,0.09563
15631684,4.12023,1.98933
15658716,4.98534,0.43456
15685764,4.99511,-0.62985
15713832,5.00000,-0.48205
15741912,5.00000,-0.18019
15769992,5.00000,0.00203
15797036,4.99022,0.05540
15824076,4.62366,-0.05284
15852156,3.42131,-0.18285
15880248,2.54154,0.25722
15907280,1.95503,0.31783
15934316,1.44184,0.06317
15961352,0.70870,-0.20973
15989436,0.08798,-0.14049
16017524,0.13685,0.10421
16044556,0.76246,0.07170
16071600,1.68133,-0.12601
16099676,2.32649,-0.33484
16127756,1.97947,-0.41537
16155840,0.45455,-0.15933
16183876,0.00000,0.84793
16210920,0.00000,0.68424
16237960,0.00000,0.04104
16265000,0.00000,-0.31774
16293076,0.00000,-0.35399
16321196,1.26588,0.13634
16348240,3.83675,0.18950
16375276,4.98045,-0.79793
16403348,5.00000,-0.65378
16431432,5.00000,0.27058
16458480,4.99511,0.66080
16485524,4.95601,0.52636
16512556,3.68035,-0.13507
16540636,3.38221,0.33024
16567672,3.76344,0.20971
16594712,4.15933,-0.30581
16622796,4.55523,-0.47347
16650872,4.17400,-0.55598
16678964,2.83969,-0.30079
16707032,1.14858,0.26358
16734072,0.06354,0.74806
16761116,0.00489,0.67964
16788160,0.35679,0.00670
16815204,1.34897,-0.34013
16843280,1.49071,-0.83577
16871360,0.21017,-0.76098
16899400,0.00000,0.53840
16926472,0.93842,0.89169
16953520,3.45552,0.61743
16980556,4.96579,-0.69546
17008632,5.00000,-1.03219
17036724,4.99511,-0.06476
17064796,5.00000,0.51335
17091836,5.00000,0.52851
17118872,5.00000,0.27481
17145924,5.00000,0.00568
17172952,5.00000,-0.15659
17201036,4.99511,-0.19900
17229128,4.89247,-0.18415
17257204,4.73118,-0.09083
17285292,4.70186,0.05091
17312324,4.83382,0.09204
17339360,3.45552,-0.41988
17367440,3.49951,0.51148
17394476,3.36755,0.17968
17421516,3.21603,-0.07398
17449596,3.18671,-0.10755
17477684,3.34311,-0.06400
17505760,3.49462,-0.08893
17533840,3.63148,-0.06044
17561928,3.49951,-0.07412
17589996,3.37732,0.07431
17617048,3.41153,0.17084
17644080,3.33333,0.04722
17671120,3.23558,-0.00305
17699200,2.96676,-0.06468
17727284,2.07234,-0.18309
17755356,1.01173,0.03125
17782400,0.18573,0.25204
17809440,0.01955,0.31359
17836480,0.21994,0.01492
17863516,0.59629,-0.25827
17891596,1.09971,-0.30224
17919680,1.77908,-0.16425
17947764,2.45357,-0.06285
17975836,2.72239,-0.06520
18003916,1.45161,-0.27663
18031996,0.04888,0.34151
18058996,0.00000,0.95990
18086044,0.00000,0.26349
18113084,0.00000,-0.30354
18141160,0.00000,-0.45202
18169240,0.00000,-0.32783
18197324,0.00000,-0.12502
18225400,0.00000,0.03569
18252444,0.00000,0.11411
18279488,0.00000,0.12110
18306520,0.00000,0.08724
18333556,0.00000,0.04199
18360612,0.00000,0.00449
18387640,0.00000,-0.01758
18415724,0.00000,-0.02481
18443832,0.96285,0.25102
18470880,4.82893,0.72028
18497916,4.99511,-1.56470
18525996,4.99511,-0.61505
18554080,5.00000,0.40079
18581120,5.00000,0.69709
18608160,5.00000,0.50047
18635196,5.00000,0.16002
18662232,5.00000,-0.10377
18690312,5.00000,-0.22067
18718396,5.00000,-0.21434
18746484,5.00000,-0.14223
18774564,5.00000,-0.05734
18802644,5.00000,0.00808
18829680,3.78788,-0.30076
18857760,2.94721,0.26696
18884800,3.25024,0.63739
18911836,3.70968,0.08888
18938876,2.54154,-0.78380
18966952,0.86510,-0.35118
18995032,0.59140,0.66796
19022076,1.64712,0.66970
19049116,3.01564,-0.13165
19077200,4.06158,-0.68418
19105276,4.62366,-0.59969
19133360,4.99511,-0.08694
19161436,4.20821,-0.00239
19189516,0.12708,-0.42314
19217564,0.00000,1.98663
19244600,0.00000,0.80049
19271644,0.00000,-0.43285
19299720,0.00000,-0.84960
19327800,0.00000,-0.66918
19355884,0.00000,-0.28366
19383964,0.00000,0.04375
19411008,0.00000,0.21449
19438076,3.56305,1.25026
19465116,4.98045,-0.75607
19493196,4.99022,-1.01227
19521276,5.00000,0.04290
19548324,5.00000,0.59452
19575356,5.00000,0.56104
19602396,5.00000,0.26049
19629432,5.00000,-0.03366
19657512,5.00000,-0.19854
19685596,5.00000,-0.22826
19713680,4.99511,-0.17324
19741768,4.87781,-0.11753
19769844,4.87781,0.03364
19796884,4.93157,0.06865
19823920,5.00000,0.04121
19850960,5.00000,-0.00589
19879048,4.99511,0.00950
19906080,5.00000,0.02644
19933120,5.00000,0.01971
19960156,5.00000,0.00924
19987200,5.00000,-0.00039
20015284,4.38905,-0.17942
20043360,0.27859,-0.94384
20071440,0.00489,1.55626
20098472,0.28348,0.79470
20125516,1.63734,-0.06686
20153596,3.46530,-0.73402
20181676,4.92180,-0.99665
20209760,4.99511,-0.86463
20237832,5.00000,0.19529
20264872,5.00000,0.74598
20291912,5.00000,0.69566
20318952,5.00000,0.36157
