ECG,ECG_Filtered
323.558,0.42570
345.064,-0.04135
463.343,0.15467
379.765,-0.73759
496.579,0.48559
500.000,-0.16166
499.511,-0.06336
408.113,-0.17435
236.559,-0.03421
114.370,0.50114
0.65494,0.52338
0.74291,0.09987
143.206,-0.25818
261.486,-0.42429
366.569,-0.53314
380.254,-0.51700
346.041,0.01117
293.744,0.47515
259.042,0.63407
256.109,0.44238
263.441,0.02725
283.480,-0.22587
235.582,-0.51370
175.953,-0.21404
143.206,0.15786
143.695,0.24088
196.481,0.17451
262.463,-0.10265
282.991,-0.36476
247.312,-0.28352
183.773,0.06070
182.307,0.50412
239.980,0.41335
319.159,-0.01920
341.153,-0.47804
293.744,-0.44925
345.064,0.34540
156.403,-0.47371
191.105,0.85546
238.514,0.35819
303.030,-0.16139
370.479,-0.38783
471.652,-0.22227
499.511,-0.36036
500.000,-0.04505
500.000,0.28430
500.000,0.33132
481.427,0.14514
363.148,-0.23333
239.003,0.04210
174.487,0.34126
160.802,0.18705
191.105,-0.10726
235.093,-0.35836
286.413,-0.34810
352.395,-0.14394
412.512,-0.01513
456.989,0.07183
493.646,0.16457
499.022,0.11161
499.511,0.15676
500.000,0.13177
500.000,0.03886
500.000,-0.04764
500.000,-0.09216
460.899,-0.20304
414.956,-0.04799
399.804,0.16348
401.760,0.10844
460.411,0.10937
334.311,-0.68129
366.080,0.39977
369.501,0.12290
349.951,-0.09589
306.452,-0.11146
231.183,-0.04959
141.740,0.08671
108.504,0.32153
111.437,0.15760
107.038,-0.18843
0.90420,-0.28518
0.21017,-0.29040
0.00000,0.19183
0.00000,0.23149
0.00000,0.04697
0.34213,0.03972
0.86022,-0.04775
132.942,-0.14808
178.886,-0.09996
244.379,0.05008
321.603,0.07479
385.630,-0.02072
408.602,-0.10928
405.181,-0.00177
395.406,0.14733
388.074,0.17495
386.119,0.09159
404.692,0.02178
415.445,-0.14550
374.389,-0.29772
363.636,0.04633
360.704,0.10752
367.058,0.06361
474.585,0.26465
306.452,-0.92291
336.266,0.52695
345.064,0.27033
335.777,-0.04965
310.362,-0.14016
287.390,-0.03759
260.997,0.00953
207.722,-0.04533
0.87488,-0.14258
0.02444,0.23354
0.00000,0.41022
0.08309,-0.01913
0.41544,-0.22372
0.62072,-0.33897
0.51320,-0.26669
0.24927,-0.00450
0.01955,0.22513
0.09775,0.32370
0.68426,0.25289
145.161,-0.04766
213.099,-0.27334
291.300,-0.18370
309.873,-0.24506
209.189,-0.26102
0.23460,0.09685
0.00000,103.290
0.00000,0.42927
0.00000,-0.25975
0.00000,-0.49389
0.41544,-0.26866
0.86999,-0.18815
0.91887,-0.19386
114.858,0.13239
108.993,0.12681
141.251,0.30028
108.504,-0.05946
269.306,0.58115
406.647,-0.16510
474.096,-0.62536
475.073,-0.43602
457.967,0.10503
443.304,0.41240
421.310,0.32932
392.473,0.12618
343.597,-0.08072
310.850,-0.04860
297.654,-0.04371
298.631,-0.09063
298.143,-0.14925
284.946,-0.14060
199.902,-0.21339
0.52786,-0.03357
0.00978,0.60334
0.00000,0.41303
0.03421,-0.10803
0.36657,-0.25712
0.93353,-0.24732
124.145,-0.28780
105.572,-0.19745
0.79668,0.14633
0.79179,0.38227
0.77713,0.22661
0.63050,0.00338
0.83578,0.04117
0.84555,-0.15696
0.64516,-0.19098
0.57674,-0.00025
0.40078,0.01141
127.077,0.33915
0.53275,-0.50991
0.59629,0.13170
0.89443,0.21044
0.97263,-0.04248
0.99707,-0.07909
130.499,0.05842
144.184,-0.05602
153.470,-0.04099
183.284,0.07233
220.919,0.04079
251.222,-0.04884
301.564,0.01964
338.221,-0.06241
