 Time; ECG; ECG_filtered; ...
 19:26:48 ;1,87;2,07;
 19:26:48 ;3,26;2,97;
 19:26:48 ;2,99;2,98;
 19:26:48 ;2,45;2,61;
 19:26:48 ;1,89;2,1;
 19:26:48 ;1,4;1,61;
 19:26:48 ;1,27;1,37;
 19:26:48 ;1,38;1,38;
 19:26:48 ;1,55;1,5;
 19:26:48 ;1,89;1,78;
 19:26:49 ;2,32;2,16;
 19:26:49 ;3,06;2,79;
 19:26:49 ;2,99;2,93;
 19:26:49 ;3,43;3,28;
 19:26:49 ;3,29;3,29;
 19:26:49 ;2,9;3,02;
 19:26:49 ;2,43;2,61;
 19:26:49 ;1,94;2,14;
 19:26:49 ;1,39;1,61;
 19:26:49 ;1,14;1,28;
 19:26:49 ;1,24;1,25;
 19:26:49 ;1,57;1,48;
 19:26:49 ;2,03;1,87;
 19:26:49 ;2,49;2,31;
 19:26:49 ;1,55;1,74;
 19:26:49 ;1,96;1,89;
 19:26:49 ;2,42;2,27;
 19:26:49 ;2,93;2,73;
 19:26:49 ;3,32;3,15;
 19:26:49 ;3,4;3,32;
 19:26:49 ;3,18;3,22;
 19:26:49 ;2,73;2,88;
 19:26:49 ;2,23;2,42;
 19:26:49 ;1,63;1,87;
 19:26:49 ;1,26;1,44;
 19:26:50 ;1,22;1,29;
 19:26:50 ;2,27;2,02;
 19:26:50 ;1,1;1,37;
 19:26:50 ;1,2;1,25;
 19:26:50 ;1,34;1,31;
 19:26:50 ;1,67;1,56;
 19:26:50 ;2,15;1,97;
 19:26:50 ;2,71;2,49;
 19:26:50 ;3,03;2,87;
 19:26:50 ;3,04;2,99;
 19:26:50 ;3,06;3,04;
 19:26:50 ;2,88;2,93;
 19:26:50 ;2,4;2,56;
 19:26:50 ;3,29;3,11;
 19:26:50 ;3,27;3,23;
 19:26:50 ;2,91;3,01;
 19:26:50 ;2,39;2,57;
 19:26:50 ;1,84;2,06;
 19:26:50 ;1,42;1,61;
 19:26:50 ;1,21;1,33;
 19:26:50 ;1,25;1,27;
 19:26:50 ;1,51;1,44;
 19:26:50 ;1,9;1,76;
 19:26:50 ;1,23;1,36;
 19:26:50 ;1,21;1,26;
 19:26:51 ;1,47;1,4;
 19:26:51 ;1,96;1,79;
 19:26:51 ;2,04;1,97;
 19:26:51 ;2,82;2,56;
